protein	count
P09496	5
Q9UHD8	16
Q9BW19	7
Q4G0J3	1
Q2NL82	1
Q01968	3
NM_020810_8	7
Q9HAB8	6
P42771	19
Q53FT3	1
Q9P2W1	2
O75822	4
Q9P289	4
P55060	4
Q86Y56	2
A6NMY6	3
Q7Z3J2	1
P26368	14
O75131	9
P05198	8
Q9UQB8	2
Q9BSV6	3
Q9C0C9	4
Q00577	2
Q9P021	2
Q9H4A4	19
Q9P2I0	2
Q96PK6	4
P29401	8
Q7L576	9
Q12765	2
Q9Y3D6	1
Q9H4L4	2
P61247	5
Q9P016	1
Q9UBF2	5
P62241	13
Q6L8Q7	1
Q99627	1
O14777	4
Q15813	7
P48730	1
P46783	3
P63208	10
P55265	1
P61088	16
O95232	5
Q15121	7
Q9H2P0	3
Q16222	20
Q96CN7	4
O75312	1
P63261	4
P35219	1
Q14738	1
Q9Y3E1	6
O75348	4
P49773	6
Q99873	12
P52565	22
Q2TAY7	5
P21291	19
Q8N3U4	4
P09936	7
Q9NR46	2
Q9NRX1	2
Q7L2H7	6
Q86W42	4
Q96ST3	11
Q9NVM9	2
Q12768	1
P22102	8
O76003	1
Q8TF74	1
A6NNZ2	1
Q9UNZ5	1
Q96QK1	8
Q15365	30
O15305	3
Q13620	4
Q15126	7
P67775	6
P41567	2
Q9H2D6	4
Q08945	22
O95155	2
Q05193	4
Q9C0J8	2
P27361	3
P52735	2
P30260	4
O60282	3
Q6FI81	2
Q07866	1
P19338	11
Q15021	4
Q13642	14
Q9NQT5	2
Q15417	33
P24468	1
P60660	12
Q9Y266	7
Q7LBC6	1
Q9Y4W2	4
Q969H8	3
P47914	1
Q9P287	2
P48739	6
Q9H4M9	7
Q86X83	1
O96019	9
Q13769	3
Q9NR31	3
Q86U38	1
Q96FV2	1
Q13951	3
Q9H0H0	1
P45974	2
O43252	1
P53677	2
P35270	1
Q9Y605	1
Q9BTT0	5
O75369	32
O43242	4
Q9NQW6	12
Q96BP3	2
Q14653	2
Q96I15	1
Q14919	2
Q9BTV5	1
Q96LR5	1
Q9ULV4	12
P06733	14
P60981	7
Q04917	3
P78330	4
Q9NXV6	7
O00178	1
A0AVT1	2
P48634	5
P15880	18
P15170	1
Q99436	2
Q6STE5	2
Q8WX92	3
Q8IZ83	4
Q92597	1
P46087	1
Q96BH1	2
Q15181	10
Q93052	4
P30153	31
Q8IZP0	4
P29144	3
P07954	2
P49959	11
Q8TCF1	2
Q9NZZ3	1
P47897	12
O15400	2
KRHB5_HUMAN	2
P61758	3
O43301	1
Q3LXA3	1
P11802	6
Q13616	8
Q96GA3	4
Q9ULW0	12
O60610	4
Q96EK5	1
P14618	21
Q92889	1
Q9BXS6	1
Q6ZRS2	4
Q9Y2Z0	3
Q15459	10
P23743	1
Q86XI2	2
Q9NPD8	4
Q9UNX3	1
P24666	6
Q13427	9
P09960	5
Q7Z7F0	3
Q07021	2
Q99717	2
