Protein(s)	TotalCount	UniquePeptides	WAN100329_P1A01	WAN100329_P1A02	WAN100329_P1A03	WAN100329_P1A04	WAN100329_P1A05	WAN100329_P1A06	WAN100329_P1A07	WAN100329_P1A08	WAN100329_P1A09	WAN100329_P1A10	WAN100329_P1A11	WAN100329_P1A12	WAN100329_P1B01	WAN100329_P1B02	WAN100329_P1B03	WAN100329_P1B04	WAN100329_P1B05	WAN100329_P1B07	WAN100329_P1B08	WAN100329_P1B09	WAN100329_P1B10	WAN100329_P1B12	WAN100329_P1C01	WAN100329_P1C02	WAN100329_P1C03	WAN100329_P1C04	WAN100329_P1C05	WAN100329_P1C06	WAN100329_P1C07	WAN100329_P1C08	WAN100329_P1C09	WAN100329_P1C10	WAN100329_P1C11	WAN100329_P1C12	WAN100329_P1D01	WAN100329_P1D02	WAN100329_P1D05	WAN100329_P1D06	WAN100329_P1D07	WAN100329_P1D08	WAN100329_P1D09	WAN100329_P1D10	WAN100329_P1D11	WAN100329_P1D12	WAN100329_P1E01	WAN100329_P1E02	WAN100329_P1E03	WAN100329_P1E04	WAN100329_P1E05	WAN100329_P1E06	WAN100329_P1E07	WAN100329_P1E08	WAN100329_P1E09	WAN100329_P1E10	WAN100329_P1E11	WAN100329_P1E12	WAN100329_P1F01	WAN100329_P1F02	WAN100329_P1F03	WAN100329_P1F04	WAN100329_P1F05	WAN100329_P1F06	WAN100329_P1F07	WAN100329_P1F08	WAN100329_P1F09	WAN100329_P1F10	WAN100329_P1F12	WAN100329_P1G01	WAN100329_P1G02	WAN100329_P1G03	WAN100329_P1G04	WAN100329_P1G05	WAN100329_P1G06	WAN100329_P1G07	WAN100329_P1G11	WAN100329_P1G12	WAN100329_P1H01	WAN100329_P1H02	WAN100329_P1H03	WAN100329_P1H04	WAN100329_P1H05	WAN100329_P1H06	WAN100329_P1H07	WAN100329_P1H08	WAN100329_P1H09	WAN100329_P1H10	WAN100329_P1H11	WAN100329_P1H12	WAN100329_P2A01	WAN100329_P2A03	WAN100329_P2A04	WAN100329_P2A06	WAN100329_P2A07	WAN100329_P2A08	WAN100329_P2A09	WAN100329_P2B01	WAN100329_P2B02	WAN100329_P2B04	WAN100329_P2B05	WAN100329_P2B06	WAN100329_P2B07	WAN100329_P2B08	WAN100329_P2B09	WAN100329_P2B10	WAN100329_P2B11	WAN100329_P2B12	WAN100329_P2C01	WAN100329_P2C02	WAN100329_P2C04	WAN100329_P2C05	WAN100329_P2C06	WAN100425_P1G08	WAN100425_P1G09	WAN100425_P1G10	WAN100425_P1G11	WAN100425_P1G12	WAN100425_P1H01	WAN100425_P1H02	WAN100425_P1H03	WAN100425_P1H04	WAN100425_P1H05	WAN100425_P1H06	WAN100425_P1H07	WAN100425_P1H08
P11940	36	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	1	2	3	2	0	6	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60264	135	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	29	27	23	13	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	8	6	4	3	0	1	0	1	0	0	0	0
P23526	91	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	25	14	11	5	5	2	3	2	1	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P23528	267	12	0	0	0	0	0	0	0	0	0	0	0	4	31	48	48	36	20	29	16	15	5	1	1	1	0	1	0	0	0	0	0	6	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P14618	1406	49	0	0	0	0	0	0	0	0	0	0	11	154	407	230	125	132	79	74	82	67	21	10	3	0	2	3	1	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P51149	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96FB5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P04818	58	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	12	12	8	7	3	1	3	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q86Y79	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q6P4R8	23	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
