protein	count
P09651; Q32P51	95
P17900	1
P30626	2
P09972	14
NM_017714_1	1
Q04695	1
O60907	1
Q96P26	1
Q92882	9
O95347	85
O60493	5
NM_007351_2	2
Q9Y248	1
O75940	1
NM_001013406_6; NM_004912_5; NM_194454_5; NM_194455_4; NM_194456_5	1
Q8N1G4	33
Q00839	54
Q9GZL7	2
Q9NW82	19
Q5T8P6	19
NM_001005376_1	1
Q96SU4	3
Q8TDN6	6
P68363; P68366; Q13748; Q6PEY2; Q71U36; Q9BQE3; Q9H853; Q9NY65	109
P60660	17
P63272	9
Q9NX24	2
P18085; P61204; P84077; P84085	1
Q5VZF2; Q9NR56	7
O75874	12
NM_001033057_8; NM_015520_8	1
O60306	43
O75925	1
Q96T37	13
Q02241	9
Q7L9L4; Q9H8S9	23
Q99856	2
Q9NVU0	4
O43707; P12814	86
Q14151	10
P48147	23
Q10567	12
P62314	58
Q14258	41
O95248	2
Q9P013	7
Q8NEM2	18
Q9UFW8	3
Q969H8	5
P78527	259
O95613	1
Q676U5	1
Q9NP79	4
P00966	46
O00186	2
O95861	9
O00534	2
P46060	69
P55017	1
O00506	3
A6NNZ2; P04350; P07437; P68371; Q13885; Q3ZCM7; Q9BVA1	16
P63010	4
P26368	78
O43707; P12814; P35609; Q08043	21
O75083	232
Q14554	1
O43707; Q9H254	5
P27694	12
P29508; P48594	1
P49736	21
Q8N3U4; Q8WVM7	3
Q13625	1
Q8IZ16	1
P28288	1
Q63HN8	24
Q13395	4
Q9H910	85
O43707; P12814; P35609	22
Q86TB9	5
P06703	14
Q9BW19	17
P31943; P52597; P55795	28
O14732	19
O43242	48
Q9NX46	1
NM_032504_17	1
P08133	33
Q86UY6	2
Q9Y6E0	4
P00441; SODC_HUMAN	5
Q8NFP7; Q96G61; Q9NZJ9	1
O75909	4
O43252	2
P31751	1
Q9H1A4	58
Q9BY44	24
P02533; P08779	2
Q01082	213
Q9H299	19
Q13503	3
O95486; O95487	3
Q719H9	2
Q9Y5B8	9
Q15424	8
Q9BWX1	1
Q70IA6	1
Q96ST2	3
K1HA_HUMAN; K1HB_HUMAN; K1M2_SHEEP; O76009; Q14525	1
Q92620	16
K2C1_HUMAN; P04264; Q3SY84; Q7RTS7; Q86Y46	2
P27695	78
P14314	12
P30085; P54819; Q5TCS8	1
P40227; Q92526	5
Q15428	15
Q8IYB5	30
Q9P287	25
Q8N335	2
Q96L50	2
P21333	817
Q9BPX3	30
Q96ME1	1
O15355	27
A6NCN2; KRHB1_HUMAN; KRHB3_HUMAN; KRHB5_HUMAN; KRHB6_HUMAN; O43790; P78385; P78386; Q14533	2
Q9H0S4	10
NM_024529_1	1
P39687	9
P10586; P23468; Q13332	2
O75747	1
Q6VMQ6	4
P50395	127
P45974	13
Q9H0L4	1
Q13332	1
Q9NRG4	2
Q86Y56	13
Q8TBC4	1
PRDX1_HUMAN; Q06830	89
P26599	73
Q14566	21
Q6UW63	3
Q9GZM8; Q9NXR1	2
P78356	1
P20226	1
K2M2_SHEEP; K2M3_SHEEP; KRHB1_HUMAN; KRHB3_HUMAN; KRHB5_HUMAN; KRHB6_HUMAN; O43790; P78385; P78386; Q14533	1
Q99615	7
Q8NCF5	2
Q8WX92	37
Q9Y4C2	1
P17612; P22694	1
NM_153350_1	1
Q9H9H4	2
Q9Y5T5	2
O43684	81
Q8IXQ6	1
Q6IE81	1
Q9NZL9	2
Q5JUR7	1
Q9H9S4; Q9Y376	11
Q86TU7	7
P28062	9
Q6ZVX7	1
P23396	26
P62328	2
P43243	169
Q8N5C7	37
O43423; P39687	2
P19784	67
Q96F45	1
Q16181	21
P60174	59
O75131; O95741; Q86YQ8; Q8IYJ1; Q96A23; Q96FN4; Q9HCH3; Q9UBL6	10
Q8WXI7	1
Q9UPW6	1
P05556; P18564	1
Q99426	3
Q9UBT2	9
Q96RE7	1
Q13617	3
Q13177	5
Q13111	16
P29374	1
Q8WUX9	3
Q8IY37	1
Q9UI26	19
P46013	5
Q6UN15	6
Q92900	32
Q14289	1
P42677; Q71UM5	1
P21980	6
P27708	1
P11940	14
Q9BZH6	12
Q86UV5	13
P32929	5
P55884	82
O95251	1
Q8N8N7	1
P42345	1
Q16531	88
P17096	12
Q9BT73	12
Q66K74	5
Q8N3F8	2
C9JRZ8; P15121	1
K2C1_HUMAN; P04264	168
Q8WXA9	11
Q13283	42
Q8WXE1	4
P33992	29
O43264	2
P48059	3
Q9P2R3	8
Q9Y520	8
A6NJG2	1
P15088	5
Q9BUL9	3
P60983	3
P27361; P28482	4
Q02750	42
NM_012232_5	1
Q9UJX5	23
P26038	115
O15530; Q6A1A2	2
Q9NT62	3
Q7Z4L5	3
O95104	4
Q9NPD8	18
Q9H903	1
P12814; P35609; Q08043	5
O00507; Q93008	2
P62273	3
P30740	45
P52888	11
Q8IV38	3
NM_007153_11; Q86U86	1
Q13243	22
P35080	1
P07900; P08238; Q14568; Q58FF7	1
P02538; P04259; P12035; P48668	2
P26583	22
P62750	14
